   1.0103531e+00   1.0249898e+00   9.9287851e-01   9.8902310e-01   9.9839835e-01   1.0016560e+00   1.0138383e+00   9.9768146e-01   1.0220469e+00   9.8422834e-01   1.0061311e+00   9.9005243e-01   9.7409286e-01   1.0066440e+00   1.0307898e+00   9.8321626e-01   1.0166003e+00
   9.9815317e-01   1.0157150e+00   9.9639341e-01   9.8408233e-01   9.7661647e-01   1.0115223e+00   9.7514738e-01   9.9124965e-01   1.0121456e+00   9.7819974e-01   1.0022692e+00   1.0143930e+00   9.8633275e-01   1.0200105e+00   1.0115511e+00   9.9413225e-01   1.0157986e+00
   1.0007786e+00   1.0128556e+00   9.9160649e-01   9.8912339e-01   9.8862081e-01   1.0048412e+00   1.0013597e+00   9.9247880e-01   1.0174372e+00   9.8412260e-01   9.9886825e-01   1.0296419e+00   9.7953302e-01   1.0068884e+00   1.0235215e+00   9.9304701e-01   1.0132853e+00
   1.0020005e+00   1.0060333e+00   9.9104132e-01   9.8624268e-01   9.6982659e-01   1.0006669e+00   9.7130680e-01   9.9300788e-01   1.0413174e+00   1.0001001e+00   1.0048399e+00   1.0268742e+00   9.8454179e-01   1.0075778e+00   1.0099807e+00   9.8773061e-01   1.0105770e+00
   9.9713787e-01   1.0309245e+00   9.8772062e-01   9.8661823e-01   9.6844318e-01   1.0132975e+00   9.8062717e-01   9.9365494e-01   1.0163892e+00   9.8365802e-01   9.8306856e-01   1.0282022e+00   9.8712696e-01   1.0098735e+00   1.0299745e+00   9.7720666e-01   1.0177174e+00
   9.8992519e-01   1.0166925e+00   9.8652437e-01   9.7530548e-01   9.8037752e-01   1.0192726e+00   9.8801628e-01   9.9091854e-01   1.0114228e+00   1.0032063e+00   9.8602999e-01   1.0087270e+00   9.7969124e-01   1.0014799e+00   1.0254665e+00   9.7803709e-01   1.0061896e+00
   1.0003716e+00   1.0346609e+00   9.9043786e-01   9.9966177e-01   9.9328006e-01   1.0083993e+00   9.8278410e-01   9.9461934e-01   1.0142063e+00   9.9290939e-01   9.9707771e-01   9.9486373e-01   9.8395396e-01   9.9538213e-01   1.0262232e+00   9.9408322e-01   1.0159780e+00
   1.0004932e+00   1.0201469e+00   9.8980388e-01   9.8332214e-01   9.7161028e-01   1.0047594e+00   9.9252153e-01   1.0005232e+00   1.0160790e+00   9.8496663e-01   9.9334573e-01   1.0108147e+00   9.8846945e-01   1.0000373e+00   1.0189599e+00   9.9377453e-01   1.0063874e+00
   9.9548387e-01   1.0068216e+00   9.9784801e-01   9.9786975e-01   9.8683955e-01   1.0019594e+00   9.9174668e-01   9.9391813e-01   1.0027537e+00   9.9290880e-01   1.0087785e+00   1.0022007e+00   9.8120559e-01   9.8621333e-01   1.0113719e+00   9.8473051e-01   1.0151186e+00
   1.0055850e+00   1.0158254e+00   9.9632109e-01   9.8920461e-01   9.8450106e-01   1.0216200e+00   9.8903411e-01   9.8252388e-01   1.0242834e+00   9.8982869e-01   1.0169618e+00   1.0151869e+00   9.8787787e-01   9.8547046e-01   1.0251883e+00   9.9544023e-01   1.0093346e+00
   1.0090882e+00   1.0214279e+00   9.9740636e-01   9.8455109e-01   9.9179424e-01   1.0139986e+00   1.0012702e+00   9.9144781e-01   1.0284891e+00   9.9248579e-01   1.0004788e+00   9.9074522e-01   9.8253278e-01   9.9677956e-01   1.0126373e+00   9.9138733e-01   1.0126197e+00
   9.9701217e-01   1.0158792e+00   9.8823364e-01   9.8864634e-01   9.9959074e-01   1.0099301e+00   1.0013462e+00   9.9263310e-01   1.0143329e+00   9.9503490e-01   9.7742482e-01   9.8751006e-01   9.8573181e-01   1.0040408e+00   1.0123318e+00   9.9647711e-01   1.0051967e+00
